Continent;Country;PlotID;PlotCode;PlotViewID;LatitudeDecimal;LongitudeDecimal;;Altitude;PlotArea;TreeID;FamilyAPGID;Family;GenusID;Genus;SpeciesID;Species;Census.No;Census.Mean.Date;D1;DPOMtMinus1;D2;D3;D4;POM;F1;F2;F3;F4;Height;F5;LI;CI;WD;AllometricRegionID;ClusterID;ForestMoistureID;ForestEdaphicID;ForestEdaphicHeightID;ForestElevationID;ForestElevationHeightID;BiogeographicalRegionID;Monocot;PomChange;Recruit;Tag.No;Sub.Plot.T1;Stem
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051804;;Cunoniaceae;;Lamanonia;;Lamanonia ternata;2;2019.644;140;;140;140;140;1300;a;1;0;4;11.5;4;;;;;;;;;;;;;;;1034;I2SE4;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051755;;Lauraceae;;Ocotea;;Ocotea porosa;2;2019.644;119;;119;119;119;1300;ah;1;0;4;12.5;4;;;;;;;;;;;;;;;1000b;I2SE6;1000a
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051953;;Lauraceae;;Ocotea;;Ocotea elegans;2;2019.644;500;;500;500;500;1300;a;1;0;0;13;4;;;;;;;;;;;;;;;828;I3SW7;
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051985;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;118;;118;118;118;1300;an;1;0;0;9;4;;;;;;;;;;;;;;;856;I3NW10;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051852;;Myrtaceae;;Eugenia;;Eugenia handroi;2;2019.644;163;;163;163;163;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;1067;I2SW7;
South America;BRAZIL;4488;PNA-02;4683;;;;;0.12;2051656;;Myrtaceae;;Myrceugenia;;Myrceugenia miersiana;2;2019.644;111;;111;111;111;1300;ahn;1;0;4;7.5;4;;;;;;;;;;;;;;;927b;I2NW11;927a
South America;BRAZIL;4489;PNA-03;4684;;;;;0.12;2051904;;Salicaceae;;Casearia;;Casearia decandra;2;2019.644;272;;272;272;272;1300;a;1;0;0;13;4;;;;;;;;;;;;;;;788;I3SE4;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051572;;Myrtaceae;;Eugenia;;Eugenia subterminalis;2;2019.644;431;;431;431;431;1300;a;1;0;4;11;4;;;;;;;;;;;;;;;762;I1SE4;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051455;;Myrtaceae;;Calyptranthes;;Calyptranthes concinna;2;2019.644;107;;107;107;107;1300;an;1;0;4;5;4;;;;;;;;;;;;;;;687;I1NE2;
South America;BRAZIL;4487;PNA-01;4682;;;;;0.12;2051401;;Araucariaceae;;Araucaria;;Araucaria angustifolia;2;2019.644;223;;223;223;223;1300;a;1;0;4;14;4;;;;;;;;;;;;;;;647;I1NW10;
